country,score_sm,score_md,score_lg,score_trf,avg_score
madagascar,0.17922077922077922,0.17532467532467533,0.30952380952380953,0.557936507936508,0.305501443001443
malawi,0.33247863247863246,0.26805555555555555,0.5320415695415696,0.7031662781662782,0.45893550893550894
malaysia,0.0,0.5426228673287496,0.3277922077922078,0.670165520753756,0.38514514896867835
maldives,0.24817404817404815,0.22851592851592853,0.14444444444444443,0.690986790986791,0.32803030303030306
mali,0.15,0.33285714285714285,0.215,0.6652922077922078,0.34078733766233765
malta,0.3555555555555555,0.46646464646464647,0.6086868686868686,0.9,0.5826767676767677
martinique,0.09747474747474746,0.21275252525252525,0.1643939393939394,0.755429292929293,0.30751262626262627
mauritius,0.19423076923076923,0.35961538461538467,0.38628205128205134,0.5589010989010988,0.37475732600732603
mexico,0.13611111111111113,0.2587301587301587,0.15833333333333333,0.7342185592185593,0.3218482905982906
moldova,0.18484162895927603,0.14125874125874127,0.3384080625257096,0.7740017825311943,0.35962755381873035
monaco,0.42777777777777776,0.6416666666666666,0.6438888888888888,0.5354040404040404,0.5621843434343434
mongolia,0.3158974358974359,0.4616666666666666,0.5366666666666666,0.8699999999999999,0.5460576923076923
montenegro,0.13064935064935065,0.31664335664335663,0.1681118881118881,0.6463569763569763,0.31544039294039294
morocco,0.3245726495726496,0.6612795374560081,0.4331422825540473,0.7267144293614882,0.5364272247360482
mozambique,0.22000000000000003,0.29,0.16999999999999998,0.46193277310924374,0.2854831932773109
myanmar,0.14155844155844155,0.0375,0.0875,0.6760663356251592,0.23565619429590018
namibia,0.0,0.0,0.0,0.5759678230266465,0.14399195575666163
nepal,0.0,0.03636363636363637,0.03636363636363637,0.44925074925074926,0.1304945054945055
netherlands,0.07303030303030304,0.16151515151515153,0.26090909090909087,0.6802020202020203,0.2939141414141414
netherlands antilles,0.09411764705882351,0.30907181054239874,0.16302521008403362,0.6173032849503437,0.29587948815889986
new caledonia,0.22952380952380952,0.3071428571428571,0.2288095238095238,0.8064285714285715,0.3929761904761905
new zealand,0.02222222222222222,0.6025641025641025,0.611965811965812,0.579059829059829,0.45395299145299145
nicaragua,0.18181818181818182,0.3075757575757576,0.09090909090909093,0.5384848484848485,0.27969696969696967
nigeria,0.15,0.35444444444444445,0.5688888888888889,0.6811111111111111,0.43861111111111106
norway,0.10924369747899158,0.37359764418587954,0.5854054442289736,0.8430170448746299,0.47781595769211865
oman,0.0,0.3790950226244344,0.3564705882352941,0.6385462903109962,0.3435279752926812
pakistan,0.15274725274725273,0.17274725274725275,0.37054945054945054,0.693901098901099,0.34748626373626373
palestine,0.02,0.09523809523809523,0.03428571428571429,0.541978021978022,0.17287545787545788
panama,0.19038461538461537,0.3663461538461538,0.28846153846153844,0.6098076923076923,0.36375
papua new guinea,0.3,0.33499999999999996,0.315,0.5599999999999999,0.37749999999999995
paraguay,0.3083333333333333,0.3333333333333333,0.18333333333333332,0.4607692307692307,0.32144230769230764
peru,0.037606837606837605,0.14188034188034188,0.24444444444444446,0.5897435897435898,0.2534188034188034
philippines,0.1382867132867133,0.542107892107892,0.3470779220779221,0.886048951048951,0.47838036963036956
poland,0.09333333333333334,0.48848484848484847,0.3818181818181818,0.6290404040404041,0.3981691919191919
portugal,0.10872180451127819,0.4796855775803143,0.16452950558213714,0.9053907496012759,0.4145819093187514
puerto rico,0.0,0.30860389610389605,0.5211038961038961,0.7746753246753247,0.4010957792207792
qatar,0.056666666666666664,0.10666666666666666,0.21333333333333332,0.5176923076923077,0.2235897435897436
romania,0.10620915032679738,0.20833333333333331,0.2561274509803922,0.8133169934640524,0.3459967320261438
russia,0.12857142857142856,0.02857142857142857,0.2,0.6936507936507936,0.2626984126984127
rwanda,0.40444444444444444,0.45999999999999996,0.4988888888888889,0.7066666666666667,0.5175
saint lucia,0.18,0.18,0.18,0.4372222222222223,0.24430555555555558
saint vincent and the grenadines,0.11111111111111112,0.13333333333333333,0.40555555555555556,0.25,0.225
san marino,0.1,0.06583333333333333,0.185,0.808939393939394,0.2899431818181818
saudi arabia,0.22222222222222224,0.2227777777777778,0.2644444444444444,0.6715873015873016,0.34525793650793657
senegal,0.24333333333333335,0.31939393939393945,0.28363636363636363,0.684469696969697,0.3827083333333333
serbia,0.015384615384615385,0.015384615384615385,0.03076923076923077,0.5421578421578422,0.15092407592407595
seychelles,0.2468864468864469,0.5041958041958041,0.5516483516483517,0.7887112887112887,0.5228604728604729
singapore,0.2594871794871795,0.5201864801864802,0.6813053613053613,0.7752913752913753,0.5590675990675991
slovakia,0.02222222222222222,0.1282051282051282,0.07222222222222222,0.6713217338217338,0.2234928266178266
slovenia,0.24,0.36,0.39555555555555555,0.758095238095238,0.43841269841269837
somalia,0.2554545454545455,0.2584848484848485,0.17272727272727276,0.4984848484848484,0.29628787878787877
south africa,0.21895104895104897,0.278974358974359,0.20228438228438228,0.7442890442890443,0.36112470862470863
south korea,0.285086155674391,0.5348781937017231,0.7273915626856804,0.8539512774806892,0.600326797385621
spain,0.12954545454545455,0.2474747474747475,0.28623737373737373,0.8420959595959596,0.37633838383838386
sri lanka,0.16844070961718022,0.4015686274509804,0.47111111111111115,0.7926050420168067,0.4584313725490196
sudan,0.20666666666666664,0.16,0.31666666666666665,0.5051948051948052,0.29713203463203464
suriname,0.2230769230769231,0.25589743589743585,0.11538461538461538,0.7051282051282051,0.32487179487179485
swaziland,0.14662004662004663,0.06713286713286715,0.1409090909090909,0.3821678321678322,0.18420745920745923
sweden,0.17523809523809525,0.5911904761904762,0.44523809523809527,0.8130952380952381,0.5061904761904762
switzerland,0.12777777777777777,0.24444444444444446,0.5055555555555555,0.8434640522875817,0.4303104575163399
syria,0.125,0.2,0.03333333333333333,0.2958333333333333,0.16354166666666664
taiwan,0.26666666666666666,0.495,0.5658333333333333,0.7691666666666667,0.5241666666666667
tajikistan,0.28222222222222226,0.23555555555555557,0.3155555555555556,0.6361904761904762,0.3673809523809524
tanzania,0.2872727272727273,0.4890909090909091,0.25272727272727274,0.5113131313131313,0.38510101010101006
thailand,0.17352941176470588,0.23398692810457516,0.16176470588235295,0.7833333333333334,0.33815359477124185
togo,0.21115384615384616,0.5715384615384614,0.6495299145299145,0.7954700854700855,0.5569230769230769
trinidad and tobago,0.19,0.2475,0.3510714285714286,0.6551298701298701,0.3609253246753247
tunisia,0.395,0.3823931623931624,0.32619658119658124,0.7356954156954157,0.4598212898212899
turkey,0.22770979020979026,0.25576923076923075,0.4651098901098901,0.6745254745254745,0.4057785964035964
uganda,0.24000000000000005,0.24871794871794872,0.4543589743589743,0.4482051282051282,0.34782051282051285
ukraine,0.27999999999999997,0.40777777777777785,0.4333333333333333,0.7230303030303029,0.4610353535353535
united arab emirates,0.16311688311688313,0.5285980685980686,0.4628105228105229,0.7159407259407258,0.46761655011655007
united kingdom,0.15189255189255188,0.10617826617826617,0.2847374847374847,0.7068620268620268,0.31241758241758244
united states,0.4068376068376069,0.5707264957264957,0.6123931623931624,0.7389083139083139,0.5822163947163947
uruguay,0.5739869281045752,0.47398692810457516,0.7033986928104575,0.6783006535947711,0.6074183006535947
uzbekistan,0.05428571428571429,0.0980952380952381,0.1838095238095238,0.6046753246753247,0.2352164502164502
venezuela,0.018181818181818184,0.16568627450980392,0.40864527629233505,0.8420231729055259,0.3586341354723708
vietnam,0.04444444444444444,0.48159340659340655,0.4956043956043956,0.8828571428571429,0.4761248473748474
yemen,0.09743589743589744,0.21709401709401713,0.28547008547008546,0.7802747252747253,0.34506868131868135
zambia,0.18461538461538465,0.21794871794871798,0.18461538461538465,0.5527972027972028,0.2849941724941725
zimbabwe,0.10454545454545454,0.15303030303030304,0.18787878787878787,0.5884559884559886,0.25847763347763353
