name,score_sm,score_md,score_lg,score_trf
Doris,0.9879673399226472,1.0,0.9995702621400946,0.9067468844005157
Dorothy,0.9973878972572922,1.0,0.998693948628646,0.9760557248585111
Edward,0.8838278311742582,0.9594651065608023,0.9979105725031342,0.8399498537400752
Elizabeth,1.0,1.0,1.0,0.8452431289640592
Emily,0.4175824175824176,0.9991546914623838,0.9936601859678783,0.9488588334742181
Emma,0.9650291423813488,0.9995836802664446,1.0,0.9046627810158201
Ethan,0.9995678478824547,1.0,1.0,0.8383751080380294
Ethel,0.5419213973799126,1.0,1.0,0.7777292576419214
Evelyn,0.9995739241585002,1.0,1.0,0.8875159778440562
Florence,0.33785557986870896,0.9194748358862145,0.9982494529540481,0.9474835886214442
Frances,0.19705500216543959,0.8094413165872673,0.9705500216543959,0.9805110437418796
Frank,0.999140154772141,0.9995700773860705,0.9926913155631987,0.9785038693035254
Gary,1.0,0.9939836699613236,1.0,0.9785131070047272
George,0.9978759558198811,0.9745114698385726,0.9953271028037384,0.8419711129991504
Hannah,1.0,1.0,1.0,0.9185639229422067
Harry,0.9995693367786391,0.9944013781223083,0.9969853574504737,0.9866494401378122
Heather,0.12716262975778547,0.9935121107266436,0.9299307958477508,0.9917820069204152
Helen,0.3292058070025619,1.0,1.0,0.9547395388556789
Henry,0.9919217687074829,0.9995748299319728,0.997874149659864,0.7925170068027211
Ida,0.9722703639514731,0.9982668977469671,0.9935008665511266,0.7603986135181976
Isabella,0.9982691475551709,1.0,1.0,0.6815231501514496
Jacob,0.023297491039426525,0.04659498207885305,0.09005376344086022,0.5067204301075269
James,0.9852320675105485,0.9725738396624473,0.9312236286919832,0.8253164556962025
Jason,0.554553264604811,0.39390034364261167,0.3865979381443299,0.8359106529209622
Jayden,0.983982683982684,0.9822510822510823,0.9783549783549783,0.9662337662337662
Jeffrey,1.0,1.0,1.0,0.9734065006331786
Jennifer,0.9995661605206074,1.0,1.0,0.9882863340563991
Jessica,0.9986737400530504,1.0,0.9991158267020336,0.9743589743589743
Joan,0.9995819397993311,1.0,1.0,0.9289297658862876
John,0.8418564675547916,0.7529007305543618,0.8302535453373442,0.7292651482595617
Joseph,0.9749900754267566,0.9940452560539896,1.0,0.6363636363636364
Joshua,1.0,0.9991518235793045,0.9987277353689568,0.727735368956743
Judith,0.9987113402061856,1.0,0.9952749140893471,0.7096219931271478
Julie,0.9669642857142857,0.9875,0.6366071428571428,0.9928571428571429
Justin,1.0,1.0,0.9991514637250742,0.955451845566398
Karen,0.95,0.99375,0.9995535714285714,0.9946428571428572
Kathleen,0.9887966804979254,1.0,1.0,0.9493775933609958
Kelly,0.9991521831284442,1.0,0.9995760915642221,0.9970326409495549
Kimberly,0.997310623038996,0.9932765575974899,0.9910354101299865,0.979381443298969
Larry,1.0,1.0,1.0,0.9995657837603127
Laura,1.0,1.0,1.0,0.9952277657266811
Lauren,0.6730351715154147,0.940512375162831,1.0,0.9982631350412505
Liam,0.982913284920974,1.0,1.0,0.9863306279367792
Lillian,0.7402258905299739,1.0,1.0,0.9556907037358818
Linda,1.0,1.0,1.0,0.9956653662765497
Lisa,0.9793771043771043,0.8838383838383839,0.9692760942760943,0.9886363636363636
Lori,0.9529564091497627,1.0,1.0,0.9922313336210618
Madison,1.0,0.9995565410199556,1.0,0.9818181818181818
Margaret,1.0,1.0,1.0,0.9806534823731728
Marie,0.9995640802092415,0.9995640802092415,1.0,0.9908456843940715
Mark,0.9345874305258658,0.9645147498931167,0.8118854211201368,0.8717400598546388
Mary,0.7040731504571903,0.7527015793848711,0.9875311720698254,0.7111388196176226
Mason,0.999168744804655,0.755195344970906,0.9721529509559435,0.9642560266001663
Matthew,0.18534119629317608,0.8024431339511373,0.9174389216512215,0.6545914069081719
Megan,0.5958727429062769,1.0,1.0,0.9901117798796216
