name,score_sm,score_md,score_lg,score_trf
Daegu,0.984375,0.984375,0.984375,0.984375
Daejeon,0.921875,0.890625,0.984375,0.984375
Dar es Salaam,0.6875,0.796875,0.96875,1.0
Dar‘ā,0.6875,0.03125,0.03125,0.9375
Daugavpils,0.421875,0.375,0.453125,0.9375
Davao,0.890625,1.0,0.984375,0.984375
Dayr az Zawr,0.9375,0.953125,0.84375,0.96875
Debrecen,0.734375,0.90625,0.96875,0.953125
Delgado,0.921875,0.984375,0.96875,0.96875
Denov,0.984375,0.953125,0.96875,0.96875
Denver,1.0,1.0,1.0,0.96875
Depok,0.953125,0.875,0.21875,0.96875
Detroit,1.0,1.0,1.0,0.953125
Diffa,0.90625,0.6875,0.921875,0.9375
Djelfa,1.0,1.0,0.96875,0.96875
Dnipro,0.890625,0.96875,0.90625,0.96875
Dobrich,0.921875,0.890625,0.875,0.984375
Dodoma,0.890625,0.953125,0.96875,0.9375
Domžale,0.640625,0.6875,0.640625,0.96875
Dornbirn,0.453125,0.703125,0.515625,0.953125
Dortmund,0.09375,0.984375,0.96875,0.9375
Dosso,0.53125,0.984375,0.984375,0.953125
Drammen,0.375,0.96875,0.921875,0.953125
Dresden,0.890625,0.984375,0.984375,0.9375
Dubăsari,0.984375,0.984375,1.0,0.96875
Duisburg,0.90625,1.0,0.921875,0.9375
Durban,0.828125,1.0,0.984375,0.953125
Durrës,0.828125,0.84375,0.953125,0.984375
Düsseldorf,0.8125,0.875,0.984375,0.96875
East London,0.9375,1.0,0.96875,0.984375
Ecatepec,0.875,0.34375,0.859375,0.96875
Edinburgh,0.921875,1.0,0.984375,0.9375
Eindhoven,0.25,0.9375,0.984375,0.96875
Ejmiatsin,0.625,0.9375,0.96875,0.953125
El Kelaa des Srarhna,0.96875,1.0,0.96875,0.96875
Elbasan,0.375,0.421875,0.9375,0.96875
Elche,0.46875,1.0,0.984375,0.953125
Eldoret,0.34375,0.34375,0.09375,0.953125
Eloy Alfaro,0.9375,1.0,1.0,0.953125
Entebbe,0.359375,0.796875,0.9375,0.96875
Esmeraldas,0.453125,0.265625,0.1875,0.953125
Espoo,0.890625,1.0,0.953125,0.9375
Essen,0.796875,1.0,0.9375,0.96875
Eşfahān,0.0625,0.203125,0.484375,0.953125
Faisalabad,0.875,1.0,1.0,0.96875
Farg‘ona,0.171875,0.046875,0.875,0.921875
Fgura,0.984375,1.0,0.984375,0.953125
Fier,0.296875,0.421875,0.59375,0.953125
Fortaleza,0.0625,0.890625,0.953125,0.9375
Frankfurt,1.0,1.0,0.984375,0.96875
Fredrikstad,0.578125,0.96875,0.953125,0.96875
Fukuoka,0.59375,1.0,0.96875,0.984375
Fès,0.046875,0.203125,0.390625,0.953125
Gabès,0.9375,0.953125,0.984375,0.984375
Galaţi,0.40625,0.421875,0.84375,0.9375
Gaziantep,0.5625,0.984375,0.96875,0.96875
Gdańsk,0.296875,0.484375,0.859375,0.953125
Geelong,0.453125,0.96875,0.921875,0.859375
Gent,0.21875,0.140625,0.296875,0.921875
Gijón,0.234375,0.984375,0.515625,0.96875
Giza,0.625,1.0,0.953125,0.96875
Glyfáda,0.90625,0.828125,0.96875,0.953125
Goiânia,0.9375,0.390625,0.625,0.96875
Gold Coast,0.90625,0.984375,0.9375,0.984375
Goyang,0.984375,0.984375,0.984375,0.96875
Graz,1.0,1.0,1.0,0.96875
Grenoble,0.1875,0.953125,0.96875,0.96875
Guangzhou,1.0,1.0,1.0,0.984375
Guantánamo,0.546875,0.84375,0.921875,0.984375
Guatemala City,1.0,0.984375,1.0,0.984375
Guayaquil,0.984375,0.984375,0.96875,0.984375
Gujranwala,0.921875,0.96875,1.0,0.984375
Gulu,0.421875,0.953125,0.984375,0.96875
Gwangju,0.484375,0.28125,0.921875,0.984375
Gyumri,0.453125,0.8125,0.84375,0.96875
Győr,0.984375,0.96875,1.0,0.96875
Gəncə,0.875,0.859375,0.984375,0.90625
Haarlem,0.8125,0.984375,0.96875,0.96875
Haifa,0.984375,0.984375,1.0,0.96875
Haiphong,0.78125,0.984375,0.75,0.96875
Hannover,0.21875,1.0,0.984375,0.953125
Hanoi,0.96875,0.984375,1.0,0.953125
Haskovo,0.5,1.0,0.8125,0.96875
Hat Yai,0.28125,1.0,0.9375,0.953125
Havana,0.96875,0.984375,1.0,0.96875
Helsinki,0.5,0.984375,0.984375,0.9375
Ho Chi Minh City,1.0,0.984375,1.0,0.984375
Holguín,0.859375,0.984375,0.96875,0.96875
Holon,0.59375,0.453125,1.0,0.953125
Homs,0.859375,0.984375,0.984375,0.953125
Homyel’,0.453125,0.46875,0.78125,0.078125
Horad Barysaw,0.953125,0.984375,1.0,0.96875
Hradec Králové,0.984375,0.984375,0.90625,0.953125
Hrazdan,1.0,0.96875,0.953125,0.984375
Hrodna,0.59375,0.671875,0.90625,0.96875
Huambo,0.4375,0.546875,0.265625,0.96875
Huancayo,0.9375,0.875,0.953125,0.953125
Hyderabad City,0.984375,1.0,0.96875,0.96875
Hyderābād,0.421875,0.953125,0.953125,0.953125
Hải Dương,0.921875,0.09375,0.34375,0.890625
Iaşi,0.9375,1.0,0.984375,0.96875
Ibadan,0.96875,0.90625,0.96875,0.96875
Ibagué,0.921875,0.984375,0.984375,0.953125
Idlib,0.8125,0.765625,0.84375,0.96875
Ikare,0.5625,0.875,0.96875,0.96875
Ilopango,0.9375,0.609375,0.859375,0.96875
Incheon,0.984375,0.984375,1.0,0.984375
Innsbruck,0.375,0.96875,0.875,0.953125
Iquitos,0.1875,0.484375,0.984375,0.9375
Irákleio,0.921875,1.0,0.984375,0.953125
Islamabad,1.0,1.0,0.984375,0.9375
Islington,0.921875,1.0,1.0,0.96875
Istanbul,1.0,0.984375,0.984375,0.984375
Jaipur,0.96875,1.0,1.0,0.984375
Jakarta,1.0,1.0,1.0,0.96875
Jelgava,0.96875,0.96875,0.953125,0.953125
Jerusalem,0.96875,0.984375,1.0,0.9375
Jinja,0.46875,0.390625,0.96875,0.96875
Johannesburg,0.984375,1.0,0.984375,0.890625
Jonava,0.859375,0.390625,0.890625,0.953125
Juliaca,0.859375,0.84375,0.671875,0.953125
Jutiapa,0.4375,0.625,0.984375,0.96875
Juárez,0.984375,0.328125,0.265625,0.96875
Jyväskylä,0.953125,0.9375,0.984375,0.9375
Jēkabpils,0.0625,0.25,0.171875,0.9375
Jūrmala,0.984375,0.890625,0.96875,0.96875
Kairouan,0.921875,0.953125,0.53125,0.984375
Kallithéa,0.484375,0.921875,0.859375,0.921875
Kamnik,0.9375,0.328125,0.640625,0.953125
Kampala,0.921875,1.0,1.0,0.953125
Kamëz,0.984375,0.9375,0.96875,0.953125
Kananga,0.953125,0.90625,0.484375,0.96875
Kano,1.0,0.96875,0.984375,0.96875
Kapan,1.0,1.0,1.0,0.953125
Karachi,0.953125,1.0,1.0,0.9375
Karaj,0.984375,0.984375,1.0,0.96875
Karlovac,0.703125,0.53125,0.484375,0.96875
Katowice,0.53125,0.96875,0.96875,0.96875
Kaunas,0.875,0.984375,0.984375,0.96875
Kavadarci,0.984375,0.84375,0.984375,0.96875
Kawanakajima,1.0,1.0,0.96875,0.984375
Kazan,0.921875,0.984375,0.984375,0.953125
Kebili,1.0,0.984375,0.96875,0.96875
Kecskemét,0.9375,1.0,0.984375,0.984375
Kenitra,0.390625,0.421875,0.46875,0.96875
Kermānshāh,0.96875,0.859375,0.984375,0.96875
Kharkiv,0.390625,0.984375,0.984375,0.96875
Khon Kaen,0.90625,0.25,0.9375,0.96875
Kigoma,1.0,0.984375,1.0,0.96875
Kikwit,0.953125,0.96875,0.953125,0.984375
Kingston upon Hull,0.015625,0.125,0.0,0.9375
Kinshasa,0.984375,1.0,1.0,0.953125
Kisangani,0.921875,1.0,0.96875,0.96875
Kisii,0.8125,0.921875,1.0,0.96875
Kisumu,0.359375,0.3125,0.390625,0.96875
Kitchener,0.796875,1.0,0.953125,0.96875
Klagenfurt,0.96875,1.0,0.984375,0.96875
Klaipėda,0.953125,1.0,1.0,0.96875
Kolkāta,0.875,0.84375,0.875,0.96875
Kolwezi,0.84375,0.90625,0.96875,0.953125
Konya,0.984375,0.984375,0.984375,0.96875
Koper,0.921875,0.84375,0.96875,0.96875
Korçë,0.9375,0.953125,1.0,0.96875
Kouvola,0.875,0.984375,0.84375,0.953125
Košice,0.953125,0.96875,0.984375,0.96875
Kragujevac,0.109375,0.484375,0.484375,0.96875
Kraków,0.34375,0.96875,1.0,0.96875
Kranj,0.9375,0.984375,0.984375,0.96875
Krasnoyarsk,1.0,1.0,1.0,0.96875
Kristiansand,0.953125,0.984375,1.0,0.96875
Kryvyi Rih,0.78125,0.34375,0.921875,0.984375
Kumanovo,0.984375,1.0,0.984375,0.96875
Kuopio,0.984375,0.984375,0.96875,0.953125
Kyiv,0.4375,0.96875,0.984375,0.96875
Kyōto,0.90625,1.0,1.0,0.953125
Kōbe,0.984375,1.0,0.96875,0.96875
La Florida,0.921875,0.984375,0.6875,0.9375
Lahore,0.609375,1.0,1.0,0.96875
Lahti,0.421875,0.96875,0.765625,0.984375
Lanús,0.953125,0.984375,0.984375,0.96875
Las Condes,1.0,0.984375,0.96875,0.984375
Las Palmas,0.984375,1.0,0.984375,0.984375
Las Tunas,1.0,1.0,0.96875,0.984375
Latakia,0.953125,0.609375,0.984375,0.953125
Lausanne,0.5,0.96875,0.984375,0.96875
Leipzig,0.859375,0.984375,0.984375,0.953125
León de los Aldama,0.859375,0.984375,0.90625,0.96875
Liberec,0.96875,0.984375,0.984375,0.96875
Liepāja,0.96875,0.953125,0.984375,0.9375
Likasi,0.984375,0.984375,0.984375,0.96875
Linyi,0.984375,1.0,1.0,0.96875
Linz,0.75,0.984375,0.984375,0.96875
Lira,0.421875,0.0625,0.109375,0.96875
Liverpool,0.71875,1.0,1.0,0.9375
Liège,0.46875,0.578125,0.984375,0.984375
Ljubljana,0.984375,1.0,0.984375,0.96875
Lobito,1.0,0.984375,0.984375,0.953125
Los Angeles,1.0,1.0,1.0,1.0
Lower Hutt,0.359375,0.125,0.5,0.953125
Loznica,0.734375,0.953125,0.984375,0.96875
Luanda,0.78125,0.984375,1.0,0.953125
Lubango,0.671875,0.40625,0.859375,0.96875
Lublin,0.984375,0.984375,1.0,0.96875
Lubumbashi,0.609375,0.875,0.984375,0.96875
Lucerne,0.9375,1.0,1.0,0.984375
Lucknow,0.265625,1.0,0.984375,0.953125
Lugano,0.734375,1.0,0.96875,0.953125
Luton,0.953125,1.0,0.984375,0.953125
Lviv,0.9375,0.90625,0.9375,0.96875
Lyon,0.96875,1.0,0.984375,0.9375
Lárisa,0.984375,1.0,0.984375,0.953125
Machakos,0.734375,0.96875,0.96875,0.953125
Machala,0.828125,0.984375,0.984375,0.984375
Madīnat as Sādis min Uktūbar,0.0,0.0,0.015625,0.015625
Mahilyow,1.0,1.0,1.0,0.984375
Maia,0.953125,1.0,0.984375,0.953125
Maiduguri,0.984375,0.984375,0.984375,0.984375
Maipú,0.546875,0.71875,0.984375,0.96875
Makassar,0.390625,0.984375,0.984375,0.984375
Manaus,0.34375,1.0,0.96875,0.96875
Manila,0.96875,1.0,0.984375,0.984375
Manta,0.5,0.53125,0.75,0.9375
Manukau City,0.984375,1.0,0.96875,0.984375
Mar del Plata,0.96875,0.875,0.96875,0.984375
Maracaibo,1.0,0.984375,0.984375,0.96875
Maracay,0.390625,0.765625,0.984375,0.984375
Maradi,0.15625,1.0,0.984375,0.984375
Marg‘ilon,0.90625,0.40625,0.78125,0.953125
Maribor,0.5,0.984375,0.890625,0.984375
Marijampolė,0.984375,1.0,0.984375,0.96875
Mariupol,1.0,1.0,0.984375,0.96875
Marrakech,0.96875,1.0,0.984375,0.96875
Marsaskala,0.1875,0.921875,0.921875,0.96875
Marseille,0.921875,0.984375,1.0,0.953125
Mashhad,0.484375,0.96875,0.984375,0.984375
Matosinhos,0.125,0.328125,0.21875,0.96875
Maturín,0.53125,0.3125,0.921875,0.96875
Mažeikiai,0.75,0.96875,0.78125,0.953125
Mbale,0.671875,0.90625,0.953125,0.96875
Mbarara,0.984375,0.96875,0.984375,0.96875
Mbeya,0.921875,0.890625,1.0,0.96875
Mbuji-Mayi,0.65625,0.984375,0.609375,0.9375
Mechelen,0.578125,0.984375,0.5,0.96875
Medan,0.9375,0.984375,1.0,0.984375
Medellín,0.453125,0.703125,0.984375,0.96875
Mejicanos,0.203125,0.96875,0.96875,0.96875
Meknès,0.953125,0.96875,0.90625,0.96875
Menongue,0.890625,0.46875,0.828125,0.96875
Mersin,0.890625,0.875,0.96875,0.984375
Meru,0.640625,0.984375,0.90625,0.953125
Messina,0.984375,0.984375,0.984375,0.96875
Mexico City,1.0,1.0,1.0,0.96875
Milton Keynes,1.0,0.984375,1.0,0.953125
Mingəçevir,0.453125,0.953125,0.8125,0.953125
Minneapolis,1.0,0.984375,1.0,0.953125
Minsk,1.0,1.0,1.0,0.953125
Miskolc,0.96875,1.0,1.0,0.953125
Mississauga,0.96875,1.0,1.0,0.953125
Mombasa,0.96875,0.953125,1.0,0.96875
Momostenango,0.9375,1.0,1.0,0.96875
Mons,0.28125,0.171875,0.515625,0.953125
Montero,0.890625,0.984375,0.984375,0.953125
Monterrey,0.953125,0.984375,0.984375,0.953125
Montpellier,0.921875,1.0,0.984375,0.96875
Montréal,0.859375,1.0,1.0,0.96875
Moortebeek,0.984375,1.0,0.984375,0.9375
Morogoro,1.0,0.75,0.875,0.984375
Moshi,0.96875,0.859375,0.984375,0.953125
Mosta,0.921875,0.796875,0.328125,0.96875
Multan,0.765625,0.96875,1.0,0.96875
Mumbai,0.96875,1.0,1.0,0.953125
Mumias,0.984375,0.984375,0.96875,0.953125
Munich,0.984375,1.0,1.0,0.953125
Mykolaiv,0.6875,0.5,0.890625,0.96875
Málaga,0.984375,0.859375,0.796875,0.96875
Métouia,0.828125,0.71875,0.953125,0.953125
Nagoya,0.453125,0.96875,1.0,0.96875
Nairobi,1.0,1.0,1.0,0.953125
Nakhon Ratchasima,0.109375,0.609375,0.5625,0.96875
Nakuru,0.96875,0.4375,0.984375,0.96875
Namangan,0.984375,0.984375,0.953125,0.96875
Namur,0.921875,0.765625,0.984375,0.96875
Nantes,0.71875,1.0,1.0,0.96875
Nanyang,0.984375,0.984375,1.0,0.953125
Napier,0.609375,1.0,0.984375,0.96875
Naxçıvan,0.46875,0.953125,0.96875,0.96875
Netanya,0.953125,0.984375,0.984375,0.96875
New York,1.0,1.0,1.0,0.984375
Nezahualcóyotl,0.375,0.71875,0.421875,0.953125
Niamey,0.96875,1.0,0.984375,0.96875
Nice,0.46875,0.5625,0.671875,0.9375
Nitra,0.484375,0.484375,0.5,0.921875
Nizhniy Novgorod,0.921875,0.921875,0.9375,0.96875
Niš,0.890625,0.46875,0.46875,0.96875
Nonthaburi,0.96875,0.96875,0.953125,0.953125
Nordre Fåle,0.984375,0.984375,0.984375,0.96875
Northcote,0.78125,1.0,1.0,0.953125
Novi Sad,0.859375,0.796875,0.234375,0.96875
Novo Mesto,0.96875,0.984375,0.984375,0.9375
Novosibirsk,0.859375,1.0,0.984375,0.96875
Nueva Concepción,0.96875,0.984375,1.0,0.921875
Nur-Sultan,0.84375,0.4375,0.578125,0.859375
Nuremberg,1.0,1.0,1.0,0.9375
Nyíregyháza,0.9375,1.0,0.984375,0.953125
Níkaia,0.9375,0.984375,0.90625,0.953125
Odesa,0.484375,0.375,0.40625,0.953125
Odivelas,0.953125,0.578125,0.984375,0.953125
Ogbomoso,0.921875,0.90625,0.984375,0.953125
Ogre,0.328125,0.703125,0.859375,0.9375
Ohrid,0.4375,1.0,1.0,0.953125
Olomouc,0.984375,0.921875,0.890625,0.953125
Omsk,0.984375,0.953125,0.984375,0.953125
Onitsha,0.78125,0.46875,0.484375,0.96875
Oradea,0.078125,0.953125,0.953125,0.953125
Oral,0.03125,0.109375,0.0625,0.953125
Oran,0.96875,0.90625,0.875,0.96875
Orhei,0.984375,0.953125,0.984375,0.953125
Orsha,0.375,0.453125,0.828125,0.953125
Orūmīyeh,0.96875,0.96875,0.96875,0.96875
Osijek,0.484375,0.5625,0.84375,0.96875
Oslo,0.34375,0.796875,0.984375,0.96875
Ostrava,0.9375,1.0,0.984375,0.953125
Oujda-Angad,0.984375,0.984375,0.953125,0.953125
Oulu,0.25,0.984375,0.984375,0.953125
Owerri,1.0,0.90625,0.96875,0.96875
Padova,0.65625,0.921875,0.984375,0.96875
Pak Kret,1.0,1.0,1.0,0.953125
Palembang,0.90625,0.984375,0.984375,0.953125
Palmerston North,0.671875,0.984375,1.0,0.984375
Panevėžys,0.953125,0.984375,0.984375,0.953125
Pančevo,0.96875,0.96875,0.9375,0.953125
Pardubice,0.765625,0.828125,0.984375,0.953125
Pasig City,0.96875,1.0,1.0,0.984375
Pavlodar,0.78125,0.96875,0.859375,0.953125
Pereira,0.3125,0.953125,0.4375,0.96875
Peristéri,0.359375,0.75,0.84375,0.96875
Peshawar,0.59375,0.984375,1.0,0.953125
Petaẖ Tiqwa,0.34375,0.453125,0.515625,0.890625
Petržalka,0.765625,0.625,0.5,0.953125
Phoenix,0.828125,0.9375,0.984375,0.921875
Pietermaritzburg,0.9375,1.0,1.0,0.953125
Pinar del Río,0.765625,0.921875,0.96875,0.984375
Pinsk,0.921875,0.984375,0.984375,0.953125
Piraeus,0.59375,1.0,1.0,0.9375
Piura,0.875,0.984375,0.859375,0.96875
Pleven,0.375,0.984375,0.96875,0.953125
Ploieşti,0.15625,0.109375,0.71875,0.984375
Plovdiv,0.21875,0.984375,1.0,0.96875
Plzeň,0.390625,0.578125,0.921875,0.96875
Poprad,0.96875,1.0,1.0,0.9375
Porirua,0.9375,0.9375,0.96875,0.96875
Port Harcourt,1.0,0.921875,0.984375,0.96875
Port Said,0.96875,0.796875,0.875,0.953125
Porto Alegre,0.96875,0.984375,0.421875,0.984375
Portoviejo,1.0,0.953125,0.984375,0.953125
Posadas,0.484375,0.984375,0.75,0.9375
Potosí,0.484375,0.59375,0.9375,0.96875
Poznań,0.890625,1.0,0.875,0.953125
Prague,0.984375,1.0,1.0,0.9375
Prato,0.875,1.0,0.984375,0.96875
Pretoria,0.984375,0.984375,0.984375,0.953125
Prešov,0.484375,0.953125,0.9375,0.96875
Prilep,0.90625,0.765625,0.71875,0.953125
Ptuj,0.265625,0.390625,0.296875,0.953125
Pucallpa,0.109375,0.5,0.78125,0.953125
Puebla,0.453125,0.890625,0.984375,0.953125
Puente Alto,0.9375,0.984375,1.0,0.96875
Pula,0.9375,0.984375,0.953125,0.96875
Pune,0.34375,1.0,0.984375,0.953125
Pátra,0.953125,0.734375,0.9375,0.953125
Pécs,0.46875,0.390625,0.515625,0.96875
Qaraghandy,0.84375,0.734375,0.890625,0.96875
Qaraçuxur,0.8125,0.875,0.984375,0.96875
Qarshi,0.96875,0.953125,1.0,0.96875
Qom,0.96875,0.890625,0.96875,0.96875
Qoqon,0.9375,1.0,0.984375,0.96875
Qormi,0.84375,0.9375,0.671875,0.953125
Quebec City,1.0,1.0,0.953125,0.984375
Quetzaltenango,0.96875,0.984375,0.984375,0.96875
Quevedo,1.0,0.984375,0.96875,0.953125
